央视,#genre#
CCTV-1HD(综合),http://125.210.152.18:9090/live/CCTV1HD_H265.m3u8
CCTV-2HD(财经),http://125.210.152.18:9090/live/CCTV2HD_H265.m3u8
CCTV-3HD(综艺),http://125.210.152.18:9090/live/CCTV3HD_H265.m3u8
CCTV-4(国际),http://125.210.152.18:9090/live/CCTV4.m3u8
CCTV-5HD(体育),http://125.210.152.18:9090/live/CCTV5HD_H265.m3u8
CCTV-5+HD（体育赛事),http://125.210.152.18:9090/live/TYSSHD_H265.m3u8
CCTV-6HD(电影),http://125.210.152.18:9090/live/CCTV6HD_H265.m3u8
CCTV-7HD(国防军事),http://125.210.152.18:9090/live/CCTV7HD_H265.m3u8
CCTV-8HD(电视剧),http://125.210.152.18:9090/live/CCTV8HD_H265.m3u8
CCTV-9HD(记录),http://125.210.152.18:9090/live/CCTVJLHD_H265.m3u8
CCTV-10HD(科教),http://125.210.152.18:9090/live/CCTV10HD_H265.m3u8
CCTV-11(戏曲),http://125.210.152.18:9090/live/CCTV11.m3u8
CCTV-12HD(社会与法）,http://125.210.152.18:9090/live/CCTV12HD_H265.m3u8
CCTV-13(新闻),http://125.210.152.18:9090/live/CCTV13.m3u8
CCTV-14高清,http://39.135.135.36:80/wh7f454c46tw1774882669_697216759/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8?icpid=88888888&amp;RTS=1554599547&amp;from=1&amp;hms_devid=683
CCTV-15（音乐）,http://125.210.152.18:9090/live/ZYYY.m3u8
CCTV-17,http://stream.cdjsxy.cn/lypd/sd/live.m3u8?_upt=a2f6f7081481307220
CCTV怀旧剧场,http://125.210.152.18:9090/live/HJJC.m3u8
CCTV女性时尚,http://125.210.152.18:9090/live/NXSS.m3u8
CCTV世界地理,http://125.210.152.18:9090/live/SJDL.m3u8
CCTV风云音乐,http://125.210.152.18:9090/live/FYYY.m3u8
CCTV央视文化精品,http://125.210.152.18:9090/live/YSWHJP.m3u8
CCTV中视购物,http://39.134.65.88:80/wh7f454c46tw1742495272_1441009600/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225709/index.m3u8?icpid=88888888&amp;RTS=1554599515&amp;from=1&amp;hms_devid=134
CETV1,http://125.210.152.18:9090/live/ZGJY.m3u8

CCTV-1综合,http://183.207.248.71:80/cntv/live1/CCTV-1/cctv-1
CCTV-2财经,http://183.207.248.71:80/cntv/live1/CCTV-2/cctv-2
CCTV-2高清,http://ivi.bupt.edu.cn/hls/cctv2hd.m3u8
CCTV-3综艺,http://183.207.248.71:80/cntv/live1/CCTV-3/cctv-3
CCTV-4国际,http://ivi.bupt.edu.cn/hls/cctv4.m3u8
CCTV-4中文国际,http://183.207.248.71:80/cntv/live1/CCTV-4/cctv-4
CCTV-5体育,http://183.207.248.71:80/cntv/live1/CCTV-5/cctv-5
CCTV-9纪录,http://183.207.248.71:80/cntv/live1/CCTV-9/cctv-news
CCTV-10科教,http://183.207.248.71:80/cntv/live1/CCTV-10/cctv-10
CCTV12高清,http://39.135.135.70:80/wh7f454c46tw1829513060_732052264/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8?icpid=88888888&amp;RTS=1554599602&amp;from=1&amp;hms_devid=686
CCTV-14少儿,http://183.207.248.71:80/cntv/live1/CCTV-14/cctv-14
CCTV-15,http://ivi.bupt.edu.cn/hls/cctv15.m3u8

卫视,#genre#
湖南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225745/index.m3u8
浙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225744/index.m3u8
江苏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225743/index.m3u8
东方卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225658/index.m3u8
山东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225738/index.m3u8
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8
辽宁卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225735/index.m3u8
黑龙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225736/index.m3u8
广东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225742/index.m3u8
安徽卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225737/index.m3u8
深圳卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225741/index.m3u8
天津卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225739/index.m3u8
重庆卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225734/index.m3u8
东南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8
广西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225731/index.m3u8
河北卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225732/index.m3u8
河南卫视,http://39.134.168.91/PLTV/1/224/3221225584/index.m3u8
湖北卫视,http://39.134.168.91/PLTV/1/224/3221225544/index.m3u8
江西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225746/index.m3u8
吉林卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225680/index.m3u8
山西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225730/index.m3u8
陕西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225729/index.m3u8
甘肃卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225724/index.m3u8
四川卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225733/index.m3u8
云南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225664/index.m3u8
贵州卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225728/index.m3u8
海南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225722/index.m3u8
宁夏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225726/index.m3u8
青海卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225727/index.m3u8
内蒙古卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225667/index.m3u8
西藏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225723/index.m3u8
新疆卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225725/index.m3u8

CGTN,#genre#
CGTN Documentary(中国),https://livedoc.cgtn.com/1000d/prog_index.m3u8
CGTN国际频道,http://live.cgtn.com/1000/prog_index.m3u8
CGTN-国际电视台,http://223.110.241.206:6610/gitv/live1/G_CCTV-NEWS/G_CCTV-NEWS/
